CODE,PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,Campanna1,Campanna2,Campanna3,Zona_Renta,REV_Garantia,Averia_grave,QUEJA_CAC,COSTE_VENTA,km_anno,Revisiones,Edad_Cliente,COMUNIDAD_AUT
CLIX84,0,0,0,0.0,1,2,2,0,1,0,0,0,4.0,0,0.0,0,1376,0,1,0,8
CLIX85,0,0,0,0.0,1,1,0,0,1,1,0,0,4.0,0,0.0,0,2015,0,1,0,16
CLIX86,0,0,0,0.0,1,2,0,1,1,0,0,0,3.0,0,0.0,0,1376,0,1,0,13
CLIX87,0,0,0,0.0,1,2,0,1,1,0,0,0,4.0,0,0.0,0,1376,0,1,0,8
CLIX88,0,0,0,0.0,1,1,0,1,1,1,0,0,2.0,0,0.0,0,2015,0,1,0,0
CLIX89,0,0,0,0.0,1,0,2,0,1,1,0,0,4.0,0,0.0,0,4720,0,1,0,8
CLIX90,0,0,0,0.0,1,0,0,1,1,1,0,0,4.0,0,0.0,0,3213,0,1,0,13
CLIX91,0,0,0,0.0,1,1,3,0,1,0,0,1,0.0,0,0.0,0,2169,0,0,0,7
CLIX92,0,0,0,0.0,1,1,0,0,1,1,0,0,3.0,0,0.0,0,2456,0,1,1,4
CLIX93,0,0,0,0.0,1,1,0,0,1,1,0,1,0.0,0,0.0,0,2169,0,1,0,8
CLIX94,0,0,0,0.0,1,2,0,0,1,0,0,0,0.0,0,0.0,0,1590,0,1,0,0
CLIX95,0,0,0,0.0,1,0,0,0,1,0,0,0,4.0,0,0.0,0,1903,0,1,0,17
CLIX96,0,0,0,0.0,1,0,0,1,1,1,0,0,4.0,0,1.0,0,4720,0,1,0,8
CLIX97,0,0,0,0.0,1,1,3,1,1,1,0,0,4.0,1,0.0,0,2228,28396,1,1,13
CLIX98,0,0,0,0.0,1,1,2,0,1,0,0,1,2.0,0,0.0,0,2611,0,1,1,4
CLIX99,0,0,0,0.0,1,1,0,0,1,1,0,0,3.0,0,0.0,0,2670,0,1,0,4
CLIX100,0,0,0,0.0,1,0,0,0,1,0,0,0,4.0,0,0.0,0,2594,0,0,0,11
CLIX101,0,0,0,0.0,1,0,0,0,1,1,0,0,4.0,0,0.0,0,1590,0,1,0,8
CLIX102,0,0,0,0.0,1,2,0,1,1,0,0,0,2.0,0,0.0,0,1590,0,1,0,16
CLIX103,0,0,0,0.0,1,1,0,0,1,0,0,1,3.0,0,0.0,0,2385,0,1,0,8
CLIX104,0,0,0,0.0,1,1,0,1,1,1,0,0,2.0,0,0.0,0,4170,0,1,0,16
CLIX105,0,0,0,0.0,1,2,0,0,1,0,0,0,3.0,0,0.0,0,1590,0,1,0,0
CLIX106,0,0,0,0.0,1,0,0,1,1,1,0,0,2.0,0,0.0,0,2892,0,1,0,0
CLIX107,0,0,0,0.0,1,2,3,0,1,0,0,0,2.0,0,0.0,0,1376,0,1,0,7
CLIX108,0,0,0,0.0,1,1,0,0,1,0,0,1,0.0,0,0.0,0,2169,0,1,0,11
CLIX109,0,0,0,0.0,1,1,0,0,1,0,0,1,3.0,0,0.0,0,2169,0,1,0,11
CLIX110,0,0,0,0.0,1,0,0,0,1,0,0,0,0.0,0,0.0,0,1590,0,1,0,13
CLIX111,0,0,0,0.0,1,2,0,0,1,0,0,0,3.0,0,2.0,0,2031,0,1,0,4
CLIX112,0,0,0,0.0,1,1,0,0,1,1,0,1,4.0,0,0.0,1,4082,0,1,0,13
CLIX113,0,0,0,0.0,1,0,3,0,0,0,0,0,2.0,0,0.0,0,1590,0,0,0,13
CLIX114,0,0,0,0.0,1,1,0,0,1,0,0,1,2.0,0,0.0,0,2169,0,0,0,7
CLIX115,0,0,0,0.0,1,2,0,0,1,0,0,0,0.0,0,0.0,0,1590,0,1,0,6
CLIX116,0,0,0,0.0,1,1,0,0,1,1,0,0,4.0,0,0.0,0,2228,0,1,0,0
CLIX117,0,0,0,0.0,1,1,0,0,1,0,0,1,0.0,0,0.0,0,3254,0,0,0,11
CLIX118,0,0,0,0.0,1,1,0,0,2,0,0,1,0.0,0,0.0,0,2611,0,1,0,4
CLIX119,0,0,0,0.0,1,0,0,0,1,0,0,0,4.0,0,0.0,0,1590,0,1,0,17
CLIX120,0,0,0,0.0,1,1,3,0,1,0,0,1,4.0,0,0.0,0,2169,0,1,0,6
CLIX121,0,0,0,0.0,1,2,3,1,1,0,0,0,4.0,0,0.0,0,2031,0,0,1,4
CLIX122,0,0,0,0.0,1,1,3,1,1,0,0,1,3.0,0,0.0,0,2169,0,1,0,13
CLIX123,0,0,0,0.0,1,1,0,0,1,0,0,1,0.0,0,0.0,0,2169,0,1,0,13
CLIX124,0,0,0,0.0,1,2,0,0,1,0,0,1,0.0,0,0.0,0,2385,0,0,0,0
CLIX125,0,0,0,0.0,1,1,0,0,1,0,0,1,3.0,0,0.0,0,2169,0,1,0,17
CLIX126,0,0,0,0.0,1,1,3,0,1,0,0,1,0.0,0,2.0,0,2611,0,0,0,4
CLIX127,0,0,0,0.0,1,1,0,0,1,0,0,1,0.0,0,0.0,0,2169,0,0,0,13
CLIX128,0,0,0,0.0,1,0,0,0,1,1,0,0,4.0,0,0.0,0,3213,0,1,1,16
CLIX129,0,0,0,0.0,1,0,3,0,1,1,0,0,2.0,0,0.0,0,1590,0,1,0,13
CLIX130,0,0,0,0.0,1,1,0,1,1,1,0,1,0.0,0,0.0,0,1590,0,1,1,6
CLIX131,0,0,0,0.0,1,0,0,0,1,0,0,0,0.0,0,0.0,0,1590,0,1,1,0
CLIX132,0,0,0,0.0,1,0,3,1,1,0,0,1,0.0,0,0.0,0,2385,0,1,0,17
CLIX133,0,0,0,0.0,1,2,0,1,1,0,0,0,0.0,0,0.0,0,1590,0,1,0,8
CLIX134,0,0,0,0.0,1,1,0,0,2,0,0,1,0.0,0,0.0,0,2169,0,0,0,13
CLIX135,0,0,0,0.0,1,0,0,0,1,0,0,0,0.0,0,0.0,0,1590,0,1,0,11
CLIX136,0,0,0,0.0,1,0,0,1,1,1,0,0,0.0,0,0.0,0,1590,0,1,0,3
CLIX137,0,0,0,0.0,1,0,0,1,1,0,0,0,0.0,0,0.0,0,1590,0,1,0,8
CLIX138,0,0,0,0.0,1,0,0,0,1,0,0,0,0.0,0,0.0,0,1590,0,1,0,0
CLIX139,0,0,0,0.0,1,2,3,0,2,0,0,0,0.0,0,0.0,0,2031,0,1,0,4
CLIX140,0,0,0,0.0,1,1,0,0,1,0,0,1,0.0,0,0.0,0,2169,0,1,0,2
CLIX141,0,0,0,0.0,1,1,3,1,1,0,0,1,0.0,0,0.0,0,2169,0,1,0,13
CLIX142,0,0,0,0.0,1,1,0,0,1,0,0,1,0.0,0,0.0,0,2169,0,1,0,13
CLIX143,0,0,0,0.0,1,0,0,0,1,0,0,0,0.0,0,0.0,0,1590,0,1,0,10
CLIX144,0,0,0,0.0,1,2,1,1,1,1,0,1,0.0,0,0.0,0,2385,0,0,0,0
CLIX145,0,0,0,0.0,1,2,0,0,1,0,0,0,0.0,0,0.0,0,2031,0,1,0,4
CLIX146,0,0,0,0.0,1,2,3,0,1,0,0,0,0.0,0,0.0,0,1590,0,1,0,0
CLIX147,0,0,0,0.0,1,1,0,1,1,0,0,1,0.0,0,0.0,0,2611,0,0,0,4
CLIX148,0,0,0,0.0,1,1,3,0,0,0,0,1,0.0,0,0.0,0,2169,0,1,0,16
CLIX149,0,0,0,0.0,1,0,0,1,1,0,0,0,0.0,0,0.0,0,1590,0,1,0,17
CLIX150,0,0,0,0.0,1,2,0,0,1,0,0,0,0.0,0,0.0,0,2031,0,0,0,4
CLIX151,0,0,0,0.0,1,1,3,1,1,0,0,1,0.0,0,0.0,0,2169,0,1,0,8
CLIX152,0,0,0,0.0,1,2,0,1,1,0,0,0,0.0,0,0.0,0,1590,0,1,0,13
CLIX153,0,0,0,0.0,1,2,3,0,1,0,0,0,0.0,0,0.0,0,1590,0,1,0,11
CLIX154,0,0,0,0.0,1,2,3,0,1,0,0,0,0.0,0,2.0,0,2031,0,1,0,4
CLIX155,0,0,0,0.0,1,0,1,0,1,0,0,0,0.0,0,0.0,0,1590,0,0,0,8
CLIX156,0,0,0,0.0,1,1,0,1,1,0,0,1,0.0,0,0.0,0,2169,0,0,0,8
CLIX157,0,0,0,0.0,1,0,1,0,1,0,0,0,0.0,0,0.0,0,1590,0,1,0,8
CLIX158,0,0,0,0.0,1,0,1,0,1,0,0,0,0.0,0,0.0,0,1590,0,1,0,10
CLIX159,0,0,0,0.0,1,1,0,1,1,0,0,1,0.0,0,0.0,0,2169,0,1,0,8
CLIX160,0,0,0,0.0,1,1,0,1,1,0,0,1,0.0,0,0.0,0,2169,0,1,1,5
CLIX161,0,0,0,0.0,1,1,0,0,1,0,0,1,0.0,0,0.0,0,2169,0,0,0,17
CLIX162,0,0,0,0.0,1,2,0,0,1,0,0,0,0.0,0,0.0,0,2031,0,1,1,4
CLIX163,0,0,0,0.0,1,1,3,1,1,0,0,1,0.0,0,0.0,0,2169,0,0,0,17
CLIX164,0,0,0,0.0,1,1,0,0,1,1,0,1,0.0,0,0.0,0,1590,0,1,0,8
CLIX165,0,0,0,0.0,1,1,0,0,1,1,0,1,0.0,0,0.0,0,2169,0,0,0,8
CLIX166,0,0,0,0.0,1,2,0,1,1,0,0,0,0.0,0,0.0,1,2031,0,1,0,4
CLIX167,0,0,0,0.0,1,1,3,0,2,0,0,1,0.0,0,0.0,0,3254,0,0,0,0
CLIX168,0,0,0,0.0,1,1,0,1,1,1,0,1,0.0,0,0.0,0,2385,0,0,0,5
CLIX169,0,0,0,0.0,1,0,0,0,1,1,0,0,0.0,0,0.0,0,1590,0,1,0,3
CLIX170,0,0,0,0.0,1,1,0,1,1,0,0,1,0.0,0,0.0,0,2169,0,1,1,1
CLIX172,0,0,0,0.0,1,1,0,0,1,1,0,1,0.0,0,0.0,0,2169,0,1,0,3
CLIX173,0,0,0,0.0,1,0,3,1,1,0,0,0,0.0,0,0.0,0,1590,0,1,0,13
CLIX174,0,0,0,0.0,1,1,0,0,1,0,0,1,0.0,0,0.0,0,2169,0,1,0,17
CLIX175,0,0,0,0.0,1,0,3,0,2,1,0,1,0.0,0,0.0,0,2385,0,1,0,1
CLIX176,0,0,0,0.0,1,1,0,1,1,1,0,1,0.0,0,0.0,0,4674,0,1,0,17
CLIX177,0,0,0,0.0,1,1,0,1,1,0,0,1,0.0,0,0.0,0,2169,0,1,1,8
CLIX178,0,0,0,0.0,1,0,1,0,1,0,0,1,0.0,0,0.0,0,2385,0,1,1,6
CLIX179,0,0,0,0.0,1,2,3,0,1,0,0,0,0.0,0,0.0,0,2031,0,0,0,4
CLIX180,0,0,0,0.0,1,2,3,0,1,0,0,0,0.0,0,0.0,0,1590,0,0,1,17
CLIX181,0,0,0,0.0,1,0,0,1,1,0,0,0,0.0,0,0.0,0,1590,0,0,1,17
CLIX182,0,0,0,0.0,1,1,0,1,2,1,0,1,0.0,0,0.0,0,1590,0,0,0,7
CLIX183,0,0,0,0.0,1,1,0,0,1,1,0,1,0.0,0,0.0,0,3254,0,0,0,8
CLIX184,0,0,0,0.0,1,1,0,1,1,1,0,1,0.0,0,0.0,0,1590,0,1,0,8
CLIX185,0,0,0,0.0,1,1,0,1,1,0,0,1,0.0,0,0.0,0,2169,0,1,1,7
CLIX186,0,0,0,0.0,1,1,0,1,1,0,0,1,0.0,0,0.0,0,2169,0,0,1,17
CLIX187,0,0,0,0.0,1,2,0,1,1,0,0,0,0.0,0,0.0,0,1590,0,1,0,1
CLIX188,0,0,0,0.0,1,0,3,1,1,0,0,1,0.0,0,0.0,0,2385,0,0,0,8
CLIX189,0,0,0,0.0,1,0,3,1,1,0,0,0,0.0,0,0.0,0,1590,0,1,0,0
CLIX190,0,0,0,0.0,1,1,0,1,1,0,0,1,0.0,0,0.0,0,2169,0,1,1,17
CLIX191,0,0,0,0.0,0,0,0,0,1,1,0,0,4.0,1,0.0,0,2892,15565,1,2,16
CLIX192,0,0,0,0.0,0,1,0,0,1,1,0,1,3.0,0,0.0,0,2892,0,1,0,3
CLIX193,0,0,0,0.0,0,1,0,0,2,1,0,0,3.0,0,0.0,0,2456,0,1,1,4
CLIX194,0,0,0,0.0,0,2,3,0,1,0,0,0,0.0,0,2.0,0,1376,0,1,0,11
CLIX195,0,0,0,0.0,0,1,0,0,1,1,0,0,4.0,1,0.0,0,2015,13017,1,1,13
CLIX196,0,0,0,0.0,0,1,0,0,1,1,0,0,0.0,0,2.0,0,3850,0,1,1,17
CLIX197,0,0,0,0.0,0,0,3,1,1,0,0,0,4.0,0,0.0,0,1376,0,1,0,6
CLIX198,0,0,0,0.0,0,0,3,0,1,1,0,0,4.0,0,0.0,0,3875,0,1,0,4
CLIX199,0,0,0,0.0,0,1,0,1,1,1,0,1,4.0,0,1.0,0,1376,0,1,0,8
CLIX200,0,0,0,0.0,0,1,0,1,0,0,0,0,0.0,0,0.0,0,920,0,1,0,17
CLIX201,0,0,0,0.0,0,1,3,1,1,1,0,1,3.0,0,0.0,0,2385,0,1,0,8
CLIX202,0,0,0,0.0,0,1,0,1,1,1,0,0,4.0,0,0.0,0,2670,0,1,0,4
CLIX203,0,0,0,0.0,0,2,0,1,1,0,0,0,0.0,0,0.0,0,2031,0,1,0,4
CLIX204,0,0,0,0.0,0,0,0,0,1,1,0,0,4.0,0,0.0,0,3213,0,1,0,3
CLIX205,0,0,0,0.0,0,0,0,1,1,0,0,0,0.0,0,0.0,0,1590,0,1,1,17
CLIX206,0,0,0,0.0,0,0,0,1,1,0,0,1,0.0,0,0.0,0,2385,0,0,0,8
CLIX207,0,0,0,0.0,0,2,3,0,1,0,0,0,0.0,0,0.0,0,2031,0,1,0,4
CLIX208,0,0,0,0.0,0,2,0,0,1,0,0,0,0.0,0,0.0,0,2031,0,1,0,4
CLIX209,0,0,0,0.0,0,0,3,0,1,0,0,1,0.0,0,0.0,0,2385,0,0,0,13
CLIX210,0,0,0,0.0,0,1,3,1,1,0,0,1,0.0,0,0.0,0,2169,0,1,0,16
CLIX211,0,0,0,0.0,0,0,3,1,1,0,0,0,0.0,0,0.0,0,1590,0,0,0,7
CLIX212,0,0,0,0.0,0,1,2,1,1,1,0,1,0.0,0,0.0,0,2169,0,0,0,8
CLIX213,0,0,0,0.0,0,0,3,0,1,0,0,0,0.0,0,0.0,0,1590,0,1,1,7
CLIX214,0,0,0,0.0,0,1,0,0,1,1,0,1,0.0,0,0.0,0,2169,0,0,0,8
CLIX215,0,0,0,0.0,0,1,0,0,1,1,0,1,0.0,0,0.0,0,1590,0,0,0,17
CLIX216,0,0,0,1.0,1,0,0,1,1,1,0,0,3.0,1,3.0,1,1376,766,1,2,0
CLIX217,0,0,0,1.0,1,0,1,1,1,1,0,0,2.0,1,0.0,0,4720,31641,1,2,1
CLIX218,0,0,0,1.0,1,1,0,0,1,1,0,0,4.0,0,0.0,0,2015,0,1,1,8
CLIX219,0,0,0,1.0,1,0,0,1,1,1,0,0,3.0,0,0.0,0,4720,0,1,0,13
CLIX220,0,0,0,1.0,1,1,0,0,1,1,0,0,0.0,1,3.0,1,2777,20066,1,1,17
CLIX221,0,0,0,1.0,1,1,0,1,1,1,0,0,2.0,0,0.0,1,3233,0,1,0,17
CLIX222,0,0,0,1.0,1,1,2,1,1,0,0,0,3.0,0,0.0,0,1590,0,1,0,13
CLIX223,0,0,0,1.0,1,2,3,0,1,0,0,0,0.0,0,0.0,0,2031,0,1,0,4
CLIX224,0,0,0,1.0,1,0,0,1,1,0,0,0,3.0,1,0.0,0,1376,7701,1,1,13
CLIX225,0,0,0,1.0,1,1,0,1,1,1,0,1,3.0,0,0.0,0,4082,0,1,1,8
CLIX226,0,0,0,1.0,1,1,3,1,2,1,0,0,4.0,0,0.0,0,2456,0,1,0,4
CLIX227,0,0,0,1.0,1,1,0,1,1,1,0,0,4.0,0,0.0,0,2015,0,1,1,13
CLIX228,0,0,0,1.0,1,0,0,0,1,0,0,0,3.0,0,0.0,0,4720,0,1,0,13
CLIX229,0,0,0,1.0,1,1,3,0,1,1,0,0,3.0,0,0.0,0,4833,0,1,0,4
CLIX230,0,0,0,1.0,1,1,0,1,1,0,0,1,0.0,0,0.0,0,2169,0,0,0,16
CLIX231,0,0,0,1.0,1,1,0,1,1,0,0,1,0.0,0,0.0,0,2169,0,1,0,11
CLIX232,0,0,0,1.0,1,1,3,1,1,0,0,1,2.0,0,0.0,0,2169,0,1,0,13
CLIX233,0,0,0,1.0,1,1,0,1,1,0,0,1,0.0,0,0.0,0,2169,0,1,0,6
CLIX234,0,0,0,1.0,1,0,0,1,1,0,0,0,0.0,0,0.0,0,1590,0,1,0,0
CLIX235,0,0,0,1.0,1,1,0,1,1,0,0,1,0.0,0,0.0,0,2169,0,0,0,8
CLIX236,0,0,0,1.0,1,1,1,1,1,0,0,1,0.0,0,0.0,0,2169,0,0,0,8
CLIX237,0,0,1,1.0,1,1,0,0,1,1,0,1,0.0,0,0.0,0,2169,0,1,0,8
CLIX238,0,0,1,1.0,1,1,3,1,1,1,0,0,3.0,0,0.0,0,3233,0,1,0,13
CLIX239,0,0,1,1.0,1,2,0,0,1,1,0,0,4.0,0,1.0,0,4720,0,1,0,8
CLIX240,0,0,1,1.0,1,0,0,0,1,0,0,0,3.0,0,0.0,0,2594,0,1,1,13
CLIX241,0,0,1,1.0,1,1,0,0,1,1,0,1,3.0,0,1.0,0,1376,0,1,0,13
CLIX242,0,0,1,1.0,1,1,3,1,1,1,0,0,2.0,0,0.0,0,3850,0,1,0,0
CLIX243,0,0,1,1.0,1,0,0,1,1,0,0,1,0.0,0,0.0,0,2385,0,1,0,11
CLIX244,0,0,1,1.0,1,1,3,0,1,1,0,1,0.0,0,0.0,0,1590,0,1,0,13
CLIX245,0,0,1,1.0,1,1,0,1,1,0,0,1,0.0,0,0.0,0,2169,0,0,0,17
CLIX246,0,0,1,1.0,1,0,0,1,1,1,0,0,2.0,1,0.0,0,1590,26823,1,2,11
CLIX247,0,0,1,1.0,1,1,0,0,1,0,0,1,0.0,0,0.0,0,2169,0,1,0,13
CLIX248,0,0,1,1.0,1,2,0,1,1,0,0,1,0.0,0,0.0,0,2385,0,0,0,16
